Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
ttd health sx,300x50,15,1008,26,982
Mogo DBM premium video sx,200x200,0,1,0,1
Nashville Symphony black list all adgroups,300x600,2,49,6,43
mogo marks branding comp rate silver video sx,160x600,1730,5232,460,4772
DCPA video local sx,320x50,34,56,0,56
DO NOT USE Mobile - MoPub - Computers & Electronics/Software/Business & Productivity Software,320x50,1,0,0,0
Pac Fox Atlanta EXCLUSION List,300x250,98,205,20,185
dbm native sx (adx),336x280,3,2,0,2
iab aff-im black sx,300x600,1,0,0,0
mogo marks agg sx xsl37589,160x600,5403,23411,1665,21746
mogo marks lal branding (All) silver sx,970x250,1215,3090,513,2577
mogo marks san francisco sx,300x50,2,39,0,39
/All Apps/Google Play/Games,728x90,134,11,11,0
Performing Arts Fort Worth Test List,300x600,4,14,0,14
co top 41 converting,300x250,1,11,0,11
kid safe sx,160x600,302,908,104,804
mogo marks outbound kpi sx x1a,320x100,1,4,0,4
mogo marks xsl_74205 (4p dims) sx ,728x90,330,2664,140,2524
mogo perf arts sx,970x250,469,1135,235,900
/All Apps/Google Play/Games/Board,300x250,12,3,3,0
fgu test public channel,728x90,225,834,56,778
mogo marks branding elite tier sx xls37852,300x50,2,61,1,60
mogo marks natl canada cat-aff-im sx,336x280,0,1,0,1
mogo marks natl cat-aff-im sx 2,160x600,154,969,47,922
mogo marks video sx xsl44760 class c,300x50,53,1699,30,1669
mogo marks xsl_74205 (2p dims) sx ,320x100,12,31,8,23
/All Apps/Google Play/Games/Casual,300x250,59,5,5,0
mogo marks xsl_ks20780 sx,468x60,1,4,0,4
Android Movers and Shakers,728x90,2,0,0,0
Brandcast Blacklist ,970x250,82,38,17,21
mogo marks native sx xsl1045 class a,320x100,1,4,4,0
mogo marks t1 brand kpi sx x8t,300x600,606,2473,273,2200
/All Apps/Google Play/News & Magazines,728x90,19,2,1,1
Android Top Selling Free Tools,336x280,5,0,0,0
DO NOT USE Mobile - MoPub - Computers & Electronics/Software/Multimedia Software/Audio & Music Software,300x250,81,3,3,0
Nashville Local sx,300x250,4,133,6,127
Pac Fox Atlanta EXCLUSION List,728x90,58,121,9,112
mogo marks denver sx,728x90,45,266,13,253
mogo marks lal branding (All) platinum sx,728x90,398,2663,180,2483
mogo marks perf arts gold sx,320x100,0,4,0,4
mogo marks playbill 5 sx x9z,300x250,139,592,59,533
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,336x280,11,26,0,26
DO NOT USE Tier 3 (2),728x90,284,2047,103,1944
Pac Private Events/Wedding sx,160x600,0,1,0,1
mogo canada t1 sx,300x600,1121,3516,369,3147
mogo marks phoenix sx,300x600,13,25,3,22
mogo marks toronto sx,970x90,1,2,0,2
mogo marks xsl_74205 sx ,160x600,478,2074,126,1948
DO NOT USE Spanish Language Sites,160x600,5,12,2,10
mogo cult soph sx,300x600,1094,3305,379,2926
mogo lydia peacecenter test,336x280,3,1,0,1
mogo marks kpi achievers sx,160x600,87,735,31,704
mogo marks native high reach tail aggregate sx,200x200,0,3,0,3
mogo marks video sx xsl44760 class c,200x200,0,2,0,2
/All Apps,160x600,153,6,4,2
/All Apps/Google Play/Games/Board,320x50,33,1,1,0
Greg's GG KPI + relevant sites list,300x250,4,17,0,17
mogo financial services kpi sx,320x100,6,5,0,5
mogo marks video sx xsl44760 class b,300x50,5,69,1,68
ttd finance sx,160x600,43,177,8,169
/All Apps/Apple App Store/Sports,300x250,41,0,0,0
/All Apps/Google Play/Books & Reference,300x250,6,2,2,0
Brandcast Blacklist ,300x600,167,1297,58,1239
mogo marks branding increased reach sx,320x100,154,308,58,250
mogo marks disney sx,300x50,0,3,0,3
mogo marks native sx xsl1045 class a,300x250,2152,6253,552,5701
mogo marks t1 brand sx trim,160x600,497,1661,148,1513
mogo marks trip advisor sx,160x600,1,34,0,34
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,160x600,2475,9617,748,8869
Performing Arts Fort Worth Top sx,160x600,6,19,4,15
dbm video sx,250x250,1,4,0,4
mogo marks outbound kpi sx x1a,320x50,3332,4374,3077,1297
mogo marks perf arts branding high reach sx,160x600,129,704,54,650
mogo universal rt+ob black sx,320x50,2,1,0,1
pac esports sx,728x90,48,752,30,722
ttd music sx,300x50,3,53,3,50
/All Apps/Apple App Store/Lifestyle,300x50,5,0,0,0
/All Apps/Google Play/Games/Card,970x250,3,0,0,0
DO NOT USE OAM UK,320x50,260,242,70,172
mogo marks denver sx,300x600,16,81,8,73
sfoc hqcat black hx,320x50,10,123,6,117
ttd finance sx,250x250,0,1,0,1
ttd gaming sx,970x250,7,3,1,2
/All Apps/Apple App Store,970x250,28,1,1,0
/All Apps/Google Play/Music & Audio,300x600,54,6,6,0
South Coast Rep Perf Arts 5 black sx,300x250,0,1,0,1
mogo marks jazz & blues sx,300x50,1,21,1,20
mogo mba tier 1 sx,728x90,23,365,11,354
mogo marks native sx xsl1045 class c,250x250,2,1,0,1
provident shortlist ,970x90,7,9,0,9
Duxiana - Longtail Blacklist,300x250,47,0,0,0
Duxiana - Underperformance Blacklist,300x600,39,1,0,1
mogo marks xsl66781 sx,336x280,0,2,0,2
/All Apps/Apple App Store/Lifestyle,300x600,9,0,0,0
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,200x200,0,1,0,1
arizona opera top converters sx,728x90,8,24,6,18
co top 41 converting,160x600,1,0,0,0
mogo marks branding tier 2 sx xls37852,336x280,2,9,0,9
mogo perf arts sx,970x90,1,2,0,2
/All Apps/Apple App Store/Games/Family,728x90,53,1,0,1
/All Apps/Google Play/Business,320x50,6,17,16,1
/All Apps/Google Play/Games/Board,160x600,5,1,1,0
LSSU url v1,300x250,10,335,4,331
mogo marks agg sx xsl37589,300x600,5992,24595,2084,22511
mogo marks houston sx,728x90,50,29,4,25
mogo marks perf arts sx 5 epx1,300x250,420,1906,198,1708
mogo marks philadelphia sx,728x90,25,11,6,5
mogo marks video branding medium reach tail aggregate sx,300x600,4182,15599,1448,14151
mogo marks video sx xsl44760 class a,300x600,297,602,101,501
sfoc cix sx,300x600,5,97,13,84
ttd music sx,300x600,26,123,8,115
DO NOT USE Tier 2,970x90,4,9,0,9
Lynn General,728x90,32,199,21,178
Performing Arts Fort Worth sx,300x600,1,2,1,1
at iab aff-im black sx,300x600,1,2,0,2
mogo marks kpi mdx sx xls9297,160x600,272,1678,83,1595
mogo marks natl cat-aff-im sx 2,300x600,1000,3562,409,3153
mogo marks xsl_800p sx,300x100,1,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,970x250,2010,3837,657,3180
Performing Arts Fort Worth Test List,160x600,2,22,1,21
kid safe sx,300x600,859,2483,265,2218
maryland-dc sx,320x50,2,2,1,1
mogo black sx,250x250,0,1,0,1
mogo marks hq100p sx,336x280,1,3,1,2
mogo marks video branding max reach tail aggregate sx,300x100,1,0,0,0
/All Apps/Apple App Store,160x600,143,3,2,1
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,300x250,20005,64875,5343,59532
DO NOT USE Tier 3* (CHANNEL),320x100,63,146,24,122
RCU KPI Sitelist 1 (CPA),300x250,0,11,0,11
Top Performing Sites,300x250,576,278,116,162
mogo marks perf arts sx 2,728x90,311,1699,115,1584
mogo marks perf arts sx 5 rx1,300x250,438,1969,201,1768
/All Apps/Google Play/Social,300x600,424,52,50,2
mogo marks wedding sx,728x90,1,21,1,20
pac motorsports sx,320x50,426,831,70,761
ttd entertainment sx,320x100,24,71,9,62
mogo centro sx US (2014),970x250,62,130,29,101
mogo marks elite kpi achievers sx,336x280,0,1,0,1
DO NOT USE Android Top Selling Free Media and Video,320x50,7,3,3,0
mogo marks branding elite tier sx xls37852,250x250,0,2,0,2
mogo marks native high reach tail aggregate sx,250x250,4,8,0,8
mogo marks nyc sx,970x90,1,2,0,2
mogo marks perf arts sx 2,320x50,415,1668,181,1487
mogo marks video sx xsl44760 class c,250x250,1,5,0,5
provident shortlist ,300x250,8981,25126,2389,22737
ttd gaming sx,160x600,551,504,107,397
/All Apps/Google Play/Sports,728x90,8,1,1,0
mogo marks branding comp rate gold video sx,300x50,19,462,28,434
mogo marks branding comp rate platinum video sx,320x50,5147,7382,3719,3663
mogo marks pav kpi hx,728x90,685,3704,303,3401
mogo marks t1 brand kpi sx x8t,970x250,817,1991,390,1601
sfoc pslx 2019 sx (Mar_2019),300x250,333,4244,319,3925
ttd female sx,320x100,1,0,0,0
ttd food sx,728x90,188,2383,84,2299
/All Apps/Google Play/Games/Strategy,728x90,1,0,0,0
Android Top Selling Free Books and Reference,300x250,22,5,2,3
PAC Singapore Rugby sx,728x90,1,0,0,0
SP News Black sx,300x600,4,9,4,5
ttd tech sx,320x50,574,601,110,491
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,336x280,42,60,4,56
education master sx,320x50,2599,4012,799,3213
mogo canada t1 sx,300x250,4461,12027,1342,10685
mogo marks t1 brand sx trim,300x50,51,764,40,724
provident shortlist ,336x280,0,5,0,5
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,300x50,206,5767,142,5625
Duxiana - Longtail Blacklist,300x600,30,8,0,8
mogo marks xsl_ks20780 sx,300x250,17055,62050,5134,56916
mogo marks perf arts sx 7,300x250,310,1400,137,1263
